Minutes	Control	Control	Control	Treated	Treated	Treated
1.0	8887.	7366.	9612.	6532.	7905.	7907.
2.0	8329.		8850.	5352.	5841.	6277.
3.0	7907.	8810.	8669.	5177.	4082.	3157.
4.0	7413.	8481.	6489.	3608.		4226.
5.0	7081.	7178.	5716.	2559.	3697.	2816.
6.0	6249.	6492.		1671.	3053.	2891.
8.0	5442.	6172.	6409.	2264.	1658.	1879.
10.0	4020.	3758.	4138.	1905.	1302.	1406.
14.0	4559.	3146.	2547.	2994.	1338.	739.
20.0	3033.	1587.	2754.	1444.		760.
25.0	2105.	1707.	2152.	281.	484.	765.
30.0	1005.	2156.	1185.	1103.	1517.	833.
50.0	820.	1513.	1591.	1918.	1128.	1293.
