	IPE L1	IPE L2	IPE L3	Middle L1	Middle L2	Middle L3
1.	32.59	33.15	35.05	16.04	36.17	15.38
1.	27.12	37.87	21.04	20.29	29.75	12.02
1.	18.40	52.93	22.34	26.98	32.84	5.43
1.	26.22	40.97	19.85	14.15	21.67	9.92
1.	27.32	59.21	35.86	19.83	17.73	3.01
1.	17.67	11.62	3.05	24.37	27.27	6.03
1.	19.43	33.64	18.60	15.73	12.36	10.62
1.	24.04	28.64	23.77	17.11	28.92	4.20
1.	27.70	38.79	10.28	10.87	8.15	5.52
1.	30.41	38.77	11.63	17.72	19.54	7.29
2.						
2.						
2.						
2.						
2.						
2.						
2.						
2.						
2.						
2.						
