 0	1	2	3	4
-0.078142	-0.039622	0.093712	-0.190797	0.374545
-0.378322	0.824927	-0.078176	0.720166	-0.605766
-0.184349	0.654217	0.720269	-0.310332	-0.500128
0.083044	-0.491497	0.362930	0.132818	0.875799
-0.321627	0.110390	0.581564	0.158196	-0.210397
0.360846	0.374700	-0.057071	-0.013255	-0.472771
-0.460364	0.102446	-0.819481	0.356081	-0.287173
0.307739	0.073356	-0.396339	0.352134	0.416304
-0.780231	-0.087660	0.185053	-0.152198	0.385498
-0.243996	-0.275196	0.302462	0.728748	0.016593
-0.424280	-0.128589	0.002571	0.099599	0.672725
-0.372627	0.116710	-0.271453	0.101484	-0.377523
0.134730	-0.279739	0.074294	-0.195993	0.399199
-0.545918	0.281221	-0.348408	-0.208304	-0.200198
-0.276929	-0.256884	-0.439545	-0.006294	-0.135201
0.101539	0.090309	-0.232819		0.178483
0.649026	-0.225238	-0.150778		0.894226
-0.153394	0.094079	-0.501176		0.328306
0.193442	-0.169177	-0.003639		-0.217241
-0.538341	0.847164	0.734122		-0.249441
0.511527	0.533027	0.385298		-0.388494
0.288193	0.351880	-0.308539		
-0.259484	-0.230077	-0.370319		
-0.397383	-0.052531	-0.484739		
-0.792581		-0.185796		
0.854779		-0.509022		
-0.249486				
