	Days	Controls	IPI/Gem		
T413	2.	1			
T425	4.	1			
K12439	8.	1			
T1145	11.	1			
K12314	13.	1			
T1645	17.	1			
CR7166	32.	1			
T674	6.	1			
T275	11.	1			
T2864	14.	1			
					
T1527	1.	1			
T1646	8.	1			
T235	8.	1			
T1865	13.	1			
G1337	17.	1			
T1871	25.	1			
T2299	8.	1			
T1882	22.	1			
T1134	44.	1			
T2294	29.	1			
					
T36	6.	1			
T253	6.	1			
T256	8.	1			
T1135	11.	1			
T582	13.	1			
T27	17.	1			
CR6904	27.	1			
T1871	23.	1			
T1521	24.	1			
T12	7.	1			
					
T7	8.		1		
T1131	11.		1		
G1836	15.		1		
T1140	22.		1		
K12426	22.		1		
T1636	24.		1		
T1516	25.		1		
T247	29.		1		
K12475	43.		1		
T245	56.		1		
T2974	37.		1		
T2878	14.		1		
T2034	41.		1		
T2572	27.		1		
T2556	17.		1		
T3252	25.		1		
T1530	69.		0		
