 0	1	2	3	4
-0.062981	-0.600929	0.614524	0.908239	0.916384
-1.086662	0.024265	0.309272	0.557796	-0.522802
0.313658	0.519798	0.619944	-0.153819	-0.385911
-0.760811	-1.081922	1.369716	-1.275480	0.956943
-0.759168	0.539436	0.607606	0.211045	0.715848
0.271608	-0.448064	0.195239	0.211375	0.256899
-0.982361	0.385011	-1.185115	0.195888	1.102401
0.783623	0.487690	-0.389218	0.074183	0.500854
-0.883064	0.584800	0.870817	0.644235	0.315784
0.505331	-0.557301	0.708250	-0.256102	0.483270
0.435645	-0.990762	0.755029	0.576455	0.607655
-0.426574	1.136023	-0.818951	-1.365847	-0.944621
-0.592756	0.619351	-0.197373	0.208258	0.529739
-1.418983	0.296941	0.959631	1.071198	-0.625697
-0.968702	-0.288244	0.310208	0.870485	-0.903017
-1.317680	0.457646	0.425094		0.544273
0.373620	-0.556814	0.024470		-0.544326
-0.761995	0.257424	0.442530		0.571131
0.032786	-0.259338	-0.616595		0.725797
0.628959	0.262053	-1.332752		0.669756
-1.068581	-0.872234	0.109373		-0.734389
0.080098	0.280930	-0.234014		
-0.108203	-0.918643	-0.026810		
-0.913438	-0.569214	0.696332		
0.410422		-0.523621		
-0.897304		0.508811		
-0.450666				
