Value 1	Value 2
4.064	3.955
3.725	3.715
2.793	2.684
1.553	1.465
0.499	0.523
0.448	0.391
0.062	0.061
3.617	3.376
2.301	2.719
1.862	1.924
1.123	1.091
0.453	0.416
0.433	0.399
0.062	0.061
3.451	3.118
2.838	2.220
1.549	1.415
0.932	1.040
0.537	0.546
0.563	0.556
0.059	0.060
3.943	4.041
3.685	3.887
2.933	2.977
1.297	1.498
0.465	0.462
0.395	0.408
0.064	0.063
2.941	3.133
3.382	2.870
1.850	1.935
1.063	1.157
0.390	0.388
0.367	0.358
0.062	0.060
3.604	3.442
2.846	3.061
1.815	1.964
0.972	1.117
0.552	0.517
0.558	0.507
0.062	0.060
3.868	4.080
3.675	3.648
2.971	2.890
1.647	1.648
0.511	0.498
0.421	0.438
0.063	0.064
3.358	3.472
2.545	2.953
1.783	1.515
1.126	1.170
0.411	0.429
0.376	0.394
0.066	0.060
3.545	3.417
3.086	2.567
2.833	1.848
1.155	1.205
0.514	0.532
0.527	0.574
0.066	0.065
