	wt	het	triple ko 
7.	0.000000	0.000000	0.00000
8.	0.000000	0.000000	0.00000
9.	0.000000	0.000000	0.00000
10.	0.000000	0.000000	0.00000
11.	0.000000	0.000000	0.00000
13.	0.000000	0.000000	0.00000
13.	0.000000	0.000000	0.00000
14.	0.000000	0.000000	0.00000
15.	0.000000	0.000000	0.00000
16.	0.000000	0.000000	0.00000
17.	0.000000	0.000000	0.00000
18.	0.000000	0.000000	0.00000
19.	0.6493506	0.000000	10.00000
20.	0.6289308	0.000000	14.28571
21.	0.6578947	0.000000	14.28571
22.	0.6849315	0.000000	16.66667
23.	0.7092199	0.000000	14.28571
24.	0.7042254	0.000000	14.28571
25.	0.7042254	4.761905	14.28571
26.	0.7042254	4.761905	14.28571
27.	2.158273	5.000000	14.28571
28.	2.142857	5.000000	14.28571
29.	2.222222	10.526320	16.66667
30.	2.222222	5.260000	16.60000
31.	3.030303	10.526320	16.66667
32.	4.651163	10.526320	16.66667
33.	3.252033	17.647060	16.66667
34.	3.333333	17.647060	16.66667
35.	4.166667	16.666670	28.57142
36.	3.278688	15.789470	28.57142
37.	3.361345	15.789470	33.33332
38.	3.571429	15.789470	49.99998
39.	3.361345	14.285710	39.99999
40.	4.385965	13.636360	49.99998
41.	4.716981	15.000000	66.66665
42.	4.807693	16.666670	66.66665
43.	6.730769	19.047620	66.66665
44.	6.730769	18.181820	150.00000
45.	10.000000	20.833330	150.00000
46.	10.204080	26.315790	150.00000
47.	9.000000	29.411760	150.00000
48.	8.080808	24.000000	150.00000
49.	8.571428	20.000000	74.99999
50.	8.256881	19.230770	74.99999
51.	8.333333	20.000000	150.00000
52.	11.214950	18.518520	150.00000
53.	10.377360	20.000000	100.00000
54.	10.377360	21.739130	50.00000
55.	10.280370	19.230770	42.85714
56.	11.650490	19.230770	42.85714
57.	9.900990	20.833330	74.99999
58.	11.650490	15.151520	42.85714
59.	9.345795	15.151520	80.00002
60.	9.174312	14.705880	50.00000
61.	9.090909	14.705880	44.44445
62.	9.433962	19.230770	133.33330
63.	9.345795	18.750000	80.00002
