	wt	het	triple	 ko
7.	0.000000	0.000000	0.000000	
8.	0.000000	0.000000	0.000000	
9.	0.000000	0.000000	0.000000	
10.	0.000000	0.000000	0.000000	
11.	0.000000	0.000000	0.000000	
13.	0.000000	0.000000	0.000000	
13.	0.000000	0.000000	0.000000	
14.	0.000000	0.000000	0.000000	
15.	0.000000	0.000000	0.000000	
16.	0.000000	0.000000	0.000000	
17.	0.000000	0.000000	0.000000	
18.	0.000000	0.000000	0.000000	
19.	0.5050505	0.000000	10.000000	
20.	0.5050505	0.000000	7.142858	
21.	0.5050505	0.000000	9.090910	
22.	0.5050505	0.000000	10.000000	
23.	0.5050505	0.000000	14.285710	
24.	0.5050505	0.000000	14.285710	
25.	0.5050505	2.325581	16.666670	
26.	0.5050505	2.325581	14.285710	
27.	1.515152	2.325581	14.285710	
28.	1.515152	2.325581	14.285710	
29.	1.515152	4.651163	14.285710	
30.	1.515152	4.651163	14.285710	
31.	2.020202	4.651163	14.285710	
32.	3.030303	4.651163	16.666670	
33.	2.020202	6.976744	16.666670	
34.	2.020202	6.976744	16.666670	
35.	2.525253	6.976744	33.333320	
36.	2.020202	6.976744	33.333320	
37.	2.020202	6.976744	33.333320	
38.	2.020202	6.976744	28.571420	
39.	2.020202	6.976744	28.571420	
40.	2.525253	6.976744	33.333320	
41.	2.525253	6.976744	49.999980	
42.	2.525253	6.976744	39.999990	
43.	3.535353	9.302325	49.999980	
44.	3.535353	9.302325	100.000000	
45.	5.050505	11.627910	100.000000	
46.	5.050505	11.627910	100.000000	
47.	4.545455	11.627910	150.000000	
48.	4.040404	11.627910	150.000000	
49.	4.545455	11.627910	150.000000	
50.	4.545455	11.627910	150.000000	
51.	4.545455	11.627910	150.000000	
52.	6.060606	11.627910	74.999990	
53.	5.555555	11.627910	74.999990	
54.	5.555555	11.627910	150.000000	
55.	5.555555	11.627910	150.000000	
56.	6.060606	11.627910	100.000000	
57.	5.050505	11.627910	50.000000	
58.	6.060606	11.627910	42.857140	
59.	5.050505	11.627910	57.142860	
60.	5.050505	11.627910	100.000000	
61.	5.050505	11.627910	57.142860	
62.	5.050505	11.627910	80.000020	
63.	5.050505	13.953490	50.000000	
