	wt	het	triple ko
7.00	0.000000	0.000000	0.000000
8.00	0.000000	0.000000	0.000000
9.00	0.000000	0.000000	0.000000
10.00	0.000000	0.000000	0.000000
11.00	0.000000	0.000000	0.000000
13.00	0.000000	0.000000	0.000000
13.00	0.000000	0.000000	0.000000
14.00	0.000000	0.000000	0.000000
15.00	0.000000	0.000000	0.000000
16.00	0.000000	0.000000	0.000000
17.00	0.000000	0.000000	0.000000
18.00	0.000000	0.000000	0.000000
19.00	0.6451613	0.000000	9.090909
20.00	0.625000	0.000000	12.500000
21.00	0.6535948	0.000000	12.500000
22.00	0.6802721	0.000000	14.285720
23.00	0.7042254	0.000000	12.500000
24.00	0.6993007	0.000000	12.500000
25.00	0.6993007	4.545455	12.500000
26.00	0.6993007	4.545455	12.500000
27.00	2.112676	4.761905	12.500000
28.00	2.097902	4.761905	12.500000
29.00	2.173913	9.523809	14.285720
30.00	2.222222	9.523809	14.285720
31.00	2.941176	9.523809	14.285720
32.00	4.444445	9.523809	14.285720
33.00	3.149606	15.000000	14.285720
34.00	3.225806	15.000000	14.285720
35.00	4.000000	14.285710	22.222220
36.00	3.174603	13.636360	22.222220
37.00	3.252033	13.636360	25.000000
38.00	3.448276	13.636360	33.333320
39.00	3.252033	12.500000	28.571430
40.00	4.201681	12.000000	33.333320
41.00	4.504505	13.043480	39.999990
42.00	4.587156	14.285710	39.999990
43.00	6.306306	16.000000	39.999990
44.00	6.306306	15.384610	60.000010
45.00	9.090909	17.241380	60.000010
46.00	9.259259	20.833330	60.000010
47.00	8.256881	22.727270	60.000010
48.00	7.476635	19.354840	60.000010
49.00	7.894737	16.666670	42.857140
50.00	7.627119	16.129030	42.857140
51.00	7.692307	16.666670	60.000010
52.00	10.084030	15.625000	60.000010
53.00	9.401710	16.666670	50.000000
54.00	9.401710	17.857140	33.333330
55.00	9.322034	16.129030	30.000000
56.00	10.434780	16.129030	30.000000
57.00	9.009009	17.241380	42.857140
58.00	10.434780	13.157900	30.000000
59.00	8.547009	13.157900	44.444450
60.00	8.403361	12.820510	33.333330
61.00	8.333333	12.820510	30.769230
62.00	8.620689	16.129030	57.142860
63.00	8.547009	15.789470	44.444450
