weeks:	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko
7.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	0.	0.	0.	0.	0.	0.	2.	0.	0.	0.	0.	0.	0.	0.										
8.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	3.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0.										
9.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	2.	0.	0.	0.	0.	0.	0.	0.	5.	0.	0.	0.	0.	2.	0.	0.	3.	1.	0.	0.	0.	0.	0.	0.	1.										
10.	0.	0.	0.	2.	0.	0.	0.	0.	1.	0.	0.	0.	0.	0.	0.	2.	1.	0.	0.	0.	0.	0.	0.	6.	0.	0.	0.	0.	2.	0.	0.	2.	1.	0.	0.	0.	1.	0.	0.	1.										
11.	0.	0.	0.	2.	1.	0.	0.	0.	1.	0.	0.	0.	2.	0.	0.	2.	1.	0.	0.	0.	0.	2.	0.	7.	0.	0.	0.	0.	2.	0.	0.	1.	1.	0.	0.	0.	1.	0.	1.	1.										
13.	1.	1.	0.	3.	1.	0.	0.	0.	1.	0.	0.	0.	2.	0.	0.	3.	2.	0.	0.	0.	0.	2.	0.	7.	0.	0.	0.	0.	2.	0.	0.	1.	1.	0.	0.	0.	1.	0.	0.	1.										
13.	0.	1.	0.	3.	1.	0.	0.	0.	1.	0.	0.	0.	3.	0.	0.	3.	2.	0.	0.	0.	0.	2.	0.	7.	0.	0.	0.	0.	2.	0.	0.	1.	1.	0.	0.	0.	1.	0.	0.	1.										
14.	0.	0.	4.	0.	1.	2.	0.	0.	0.	0.	0.	0.	3.	0.	0.	2.	0.	0.	4.	1.	2.	0.	0.	0.	9.	0.	0.	0.	2.	0.	0.	2.	1.	0.	0.	0.	1.	0.	0.	1.										
15.	0.	1.	0.	2.	6.	1.	3.	0.	0.	0.	3.	0.	0.	0.	0.	0.	0.	1.	1.	2.	10.	1.	0.	0.	0.	1.	0.	0.	0.	1.	0.	1.	1.	0.	0.	0.	1.	0.	1.	0.										
16.	1.	1.	0.	4.	1.	0.	0.	3.	1.	0.	8.	0.	4.	0.	0.	4.	2.	1.	1.	2.	0.	1.	0.	9.	0.	0.	0.	1.	1.	0.	0.	1.	1.	2.	0.	1.	2.	0.	4.	1.										
