weeks:	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko
7.	0.	5.	0.	3.	0.	5.	0.	0.	0.	0.	0.	6.	0.	0.	0.	2.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	0.	0.	0.	0.	0.	0.	2.	0.	0.	0.	0.	0.	0.	0.										
8.	0.	2.	4.	4.	0.	12.	3.	2.	0.	0.	0.	6.	0.	0.	0.	2.	0.	0.	0.	0.	0.	0.	3.	0.	2.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	3.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0.										
9.	0.	2.	12.	6.	0.	14.	6.	2.	0.	4.	0.	6.	0.	0.	1.	0.	0.	3.	0.	0.	0.	4.	0.	0.	2.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	2.	0.	0.	0.	0.	0.	0.	0.	5.	0.	0.	0.	0.	2.	0.	0.	3.	1.	0.	0.	0.	0.	0.	0.	1.										
10.	0.	2.	12.	6.	0.	16.	11.	0.	1.	4.	0.	10.	0.	0.	1.	0.	0.	0.	8.	0.	2.	0.	5.	0.	6.	0.	0.	0.	2.	0.	0.	0.	0.	1.	0.	0.	0.	0.	0.	0.	2.	1.	0.	0.	0.	0.	0.	0.	6.	0.	0.	0.	0.	2.	0.	0.	2.	1.	0.	0.	0.	1.	0.	0.	1.										
11.	0.	3.	17.	9.	0.	16.	11.	0.	1.	6.	0.	11.	0.	0.	1.	0.	0.	2.	6.	0.	3.	0.	12.	0.	8.	0.	0.	0.	2.	1.	0.	0.	0.	1.	0.	0.	0.	2.	0.	0.	2.	1.	0.	0.	0.	0.	2.	0.	7.	0.	0.	0.	0.	2.	0.	0.	1.	1.	0.	0.	0.	1.	0.	1.	1.										
13.	0.	3.	20.	11.	0.	22.	11.	0.	1.	8.	0.	11.	0.	0.	2.	1.	1.	2.	6.	0.	3.	0.	12.	0.	9.	1.	1.	0.	3.	1.	0.	0.	0.	1.	0.	0.	0.	2.	0.	0.	3.	2.	0.	0.	0.	0.	2.	0.	7.	0.	0.	0.	0.	2.	0.	0.	1.	1.	0.	0.	0.	1.	0.	0.	1.										
13.	0.	3.	18.	15.	0.	22.	12.	0.	1.	9.	0.	13.	0.	1.	2.	1.	1.	3.	6.	0.	6.	0.	12.	0.	9.	0.	1.	0.	3.	1.	0.	0.	0.	1.	0.	0.	0.	3.	0.	0.	3.	2.	0.	0.	0.	0.	2.	0.	7.	0.	0.	0.	0.	2.	0.	0.	1.	1.	0.	0.	0.	1.	0.	0.	1.										
14.	0.	0.	20.	14.	3.	22.	14.	0.	0.	8.	0.	15.	0.	0.	1.	0.	2.	4.	2.	8.	11.	4.	1.	13.	7.	0.	0.	4.	0.	1.	2.	0.	0.	0.	0.	0.	0.	3.	0.	0.	2.	0.	0.	4.	1.	2.	0.	0.	0.	9.	0.	0.	0.	2.	0.	0.	2.	1.	0.	0.	0.	1.	0.	0.	1.										
15.	0.	13.	22.	0.	5.	21.	16.	10.	0.	0.	0.	0.	1.	14.	0.	10.	0.	4.	2.	2.	15.	1.	2.	6.	13.	0.	1.	0.	2.	6.	1.	3.	0.	0.	0.	3.	0.	0.	0.	0.	0.	0.	1.	1.	2.	10.	1.	0.	0.	0.	1.	0.	0.	0.	1.	0.	1.	1.	0.	0.	0.	1.	0.	1.	0.										
16.	0.	7.	22.	15.	0.	18.	17.	0.	0.	12.	0.	17.	0.	0.	0.	2.	2.	7.	14.	1.	6.	0.	20.	1.	11.	1.	1.	0.	4.	1.	0.	0.	3.	1.	0.	8.	0.	4.	0.	0.	4.	2.	1.	1.	2.	0.	1.	0.	9.	0.	0.	0.	1.	1.	0.	0.	1.	1.	2.	0.	1.	2.	0.	4.	1.										
17.	0.	7.	27.	13.	0.	25.	26.	0.	0.	18.	0.	20.	0.	0.	0.	2.	2.	7.	14.	1.	6.	0.	18.	0.	12.	0.	1.	0.	4.	1.	0.	0.	2.	1.	0.	0.	0.	4.	0.	0.	4.	0.	1.	1.	0.	0.	1.	0.	9.	0.	0.	2.	1.	1.	0.	0.	1.	1.	1.	0.	1.	1.	0.	4.	1.										
18.	0.	7.	23.	9.	0.	19.	22.	0.	1.	14.	0.	20.	0.	0.	0.	1.	1.	5.	13.	1.	4.	0.	14.	0.	10.	0.	0.	1.	2.	2.	0.	0.	2.	1.	0.	0.	0.	6.	0.	0.	3.	0.	0.	1.	0.	0.	2.	0.	11.	0.	0.	2.	1.	1.	0.	0.	1.	1.	1.	0.	0.	1.	0.	2.	1.										
19.	1.	4.	23.	9.	0.	19.	20.	0.	1.	15.	0.	19.	0.	0.	0.	1.	1.	5.	14.	1.	3.	0.	10.	0.	8.	0.	0.	1.	1.	2.	0.	0.	1.	1.	0.	0.	0.	6.	0.	0.	2.	0.	0.	1.	0.	0.	2.	0.	11.	0.	0.	2.	1.	1.	0.	0.	2.	0.	0.	0.	0.	1.	0.	2.	1.										
20.	1.	4.	23.	9.	0.	20.	20.	0.	1.	16.	0.	23.	0.	0.	0.	1.	1.	5.	15.	1.	2.	0.	9.	0.	8.	0.	0.	1.	1.	2.	0.	0.	0.	1.	0.	0.	0.	4.	0.	0.	2.	0.	0.	1.	0.	0.	2.	0.	11.	0.	0.	1.	1.	1.	0.	0.	1.	0.	0.	0.	0.	1.	0.	1.	1.										
