	wt 	wt 	wt 	het	het	het	triple ko	triple ko	triple ko
7.	24.			8.			6.666667		
8.	40.			12.			6.666667		
9.	48.			8.			26.666670		
10.	52.			20.			33.333330		
11.	56.			32.			40.000000		
13.	64.			40.			33.333330		
13.	68.			36.			33.333330		
14.	72.			72.			33.333330		
15.	80.			56.			40.000000		
16.	64.			60.			60.000000		
17.	60.			44.			66.666660		
18.	64.			40.			60.000000		
19.	68.			40.			46.666670		
20.	68.			36.			46.666670		
21.	68.			36.			46.666670		
22.	72.			40.			40.000000		
23.	72.			40.			40.000000		
24.	72.			40.			40.000000		
25.	68.			40.			40.000000		
26.	68.			40.			40.000000		
27.	64.			36.			46.666670		
28.	64.			36.			46.666670		
29.	64.			32.			40.000000		
30.	64.			32.			40.000000		
31.	64.			32.			40.000000		
32.	64.			32.			40.000000		
33.	64.			28.			40.000000		
34.	64.			28.			40.000000		
35.	64.			28.			46.666670		
36.	72.			28.			40.000000		
37.	68.			28.			40.000000		
38.	60.			28.			26.666670		
39.	64.			40.			33.333330		
40.	60.			40.			26.666670		
41.	60.			32.			20.000000		
42.	60.			24.			20.000000		
43.	60.			40.			20.000000		
44.	64.			44.			13.333330		
45.	60.			48.			13.333330		
46.	60.			36.			13.333330		
47.	56.			28.			13.333330		
48.	60.			36.			13.333330		
49.	64.			44.			26.666670		
50.	76.			44.			26.666670		
51.	80.			44.			13.333330		
52.	80.			44.			13.333330		
53.	76.			40.			20.000000		
54.	72.			40.			40.000000		
55.	76.			44.			40.000000		
56.	76.			44.			40.000000		
57.	64.			44.			26.666670		
58.	76.			48.			40.000000		
59.	76.			48.			26.666670		
60.	80.			52.			40.000000		
61.	80.			52.			40.000000		
62.	72.			40.			20.000000		
63.	88.			40.			26.666670		
